Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
547093,16161U,WRAP SUKI AND FRIENDS,25.0,2011-03-21 08:20:00,0.42,14762.0,United Kingdom
563507,22091,EMPIRE TISSUE BOX @@@,36.0,,0.39,14414.0,United Kingdom ###
559338,85099C,JUMBO  BAG BAROQUE BLACK WHITE,3.0,2011-07-07 16:30:00,4.13,,United Kingdom
575739,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,1.0,2011-11-11 09:05:00,7.46,,United Kingdom
558696,79000,MOROCCAN TEA GLASS,12.0,2011-07-01 12:09:00,34.0,16746.0,United Kingdom
553549,23301,GARDENERS KNEELING PAD KEEP CALM,1.0,2011-05-17 16:09:00,3.29,,United Kingdom
570715,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,48.0,2011-10-12 10:23:00,1.69,18287.0,United Kingdom
56317100.000,23306,SET OF 36 DOILIES PANTRY DESIGN,12.0,2011-08-12 12:46:00,1.45,16317.0,United Kingdom
561646,22207,FRYING PAN UNION FLAG,24.0,2011-07-28 15:19:00,3.75,16029.0,United Kingdom
553515,22685,FRENCH BLUE METAL DOOR SIGN 0,5.0,2011-05-17 14:03:00,1.25,17515.0,United Kingdom
575754,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1.0,2011-11-11 10:43:00,2.08,17295.0,United Kingdom
553005,84836,ZINC METAL HEART DECORATION,12.0,2011-05-12 16:29:00,1.25,14651.0,United Kingdom
565478,82483,WOOD 2 DRAWER CABINET WHITE FINISH,1.0,2011-09-05 11:18:00,6.95,15005.0,United Kingdom ###
581281,22961,JAM MAKING SET PRINTED,10.0,2011-12-08 11:36:00,1.45,18109.0,United Kingdom
550645,22379,RECYCLING BAG RETROSPOT,12.0,2011-04-19 16:31:00,2.1,16098.0,United Kingdom
560225,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,1.0,2011-07-15 16:27:00,3.29,,United Kingdom
561502,23206,LUNCH BAG APPLE DESIGN,10.0,2011-07-27 14:14:00,1.65,14305.0,United Kingdom
547925,21915,RED  HARMONICA IN BOX,12.0,2011-03-28 13:57:00,1.25,12481.0,Germany
581219,22547,MINI JIGSAW DINOSAUR,2.0,2011-12-08 09:28:00,0.83,,United Kingdom
567104,47566,PARTY BUNTING,4.0,2011-09-16 13:33:00,4.95,15975.0,United Kingdom
540260,21875,KINGS CHOICE MUG,12.0,2011-01-06 09:40:00,1.25,13097.0,United Kingdom
564168,84836,ZINC METAL HEART DECORATION,4.0,2011-08-23 13:51:00,1.25,16794.0,United Kingdom
536544,85064,CREAM SWEETHEART LETTER RACK,1.0,2010-12-01 14:32:00,11.02,,United Kingdom
566972,22549,PICTURE DOMINOES,24.0,2011-09-16 09:13:00,1.45,16573.0,United Kingdom
575947,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3.0,2011-11-13 11:50:00,10.79,,United Kingdom
561585,21535,RED RETROSPOT SMALL MILK JUG,6.0,2011-07-28 10:46:00,2.55,13728.0,United Kingdom
550986,90060F,FIRE POLISHED GLASS NECKL GREEN,1.0,2011-04-21 18:06:00,5.82,,United Kingdom
570245,23201,JUMBO BAG ALPHABET,10.0,2011-10-09 16:11:00,2.08,14415.0,United Kingdom
544790,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,2.0,2011-02-23 12:27:00,4.25,16940.0,United Kingdom
543748,84946,ANTIQUE SILVER TEA GLASS ETCHED ###,24.0,2011-02-11 13:54:00,1.25,12913.0,United Kingdom
543541,20961,STRAWBERRY BATH SPONGE INVALID,10.0,2011-02-09 14:44:00,1.25,12462.0,Spain
572696,22726,ALARM CLOCK BAKELIKE GREEN,200.0,2011-10-25 14:23:00,3.39,17857.0,United Kingdom
574328,47590A,BLUE HAPPY BIRTHDAY BUNTING,12.0,2011-11-04 09:05:00,5.45,13081.0,United Kingdom
570180,85049G,CHOCOLATE BOX RIBBONS,12.0,2011-10-07 14:28:00,1.25,17509.0,United Kingdom
577344,22130,PARTY CONE CHRISTMAS DECORATION,12.0,2011-11-18 15:14:00,0.85,12437.0,France
564647,84846A,SCENTED CANDLE IN DIGITALIS TIN,1.0,2011-08-26 13:56:00,2.1,17920.0,United Kingdom
581146,23552,BICYCLE PUNCTURE REPAIR KIT,3.0,2011-12-07 13:53:00,2.08,17602.0,United Kingdom
577505,21875,KINGS CHOICE MUG,6.0,2011-11-20 12:37:00,1.25,13118.0,United Kingdom
545690,84978,HANGING HEART JAR T-LIGHT HOLDER,6.0,2011-03-06 12:46:00,1.25,13263.0,United Kingdom
542399,48194,DOORMAT HEARTS,3.0,2011-01-27 15:38:00,7.95,15549.0,United Kingdom
553013,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL bad_value,1.0,2011-05-12 18:19:00,1.63,,United Kingdom ###
562166,23207,LUNCH BAG ALPHABET DESIGN,10.0,2011-08-03 12:10:00,1.65,13209.0,United Kingdom
558777,22628,PICNIC BOXES SET OF 3 RETROSPOT,1.0,2011-07-04 10:23:00,4.13,,United Kingdom
544931,22570,FELTCRAFT CUSHION RABBIT,4.0,2011-02-24 18:59:00,3.75,13501.0,Switzerland
544434,85131D,BEADED CRYSTAL HEART PINK ON STICK,2.0,2011-02-18 16:12:00,0.83,,United Kingdom
562213,22993,SET OF 4 PANTRY JELLY MOULDS,4.0,2011-08-03 13:39:00,1.25,13975.0,United Kingdom
550016,21169,YOU'RE CONFUSING ME METAL SIGN,12.0,2011-04-14 10:54:00,1.69,15416.0,United Kingdom
579188,22846,BREAD BIN DINER STYLE RED typoo,1.0,,16.95,12748.0,United Kingdom
542103,21251,DINOSAUR HEIGHT CHART STICKER SET,6.0,2011-01-25 13:26:00,2.95,13198.0,United Kingdom
555852,22192,BLUE DINER WALL CLOCK typoo,2.0,2011-06-07 13:38:00,8.5,17429.0,United Kingdom
542906,82551,LAUNDRY 15C METAL SIGN mixed_CASE,1.0,,2.46,,United Kingdom mixed_CASE
573876,23191,BUNDLE OF 3 RETRO NOTE BOOKS,2.0,2011-11-01 12:48:00,1.65,16360.0,United Kingdom
573999,84509A,SET OF 4 ENGLISH ROSE PLACEMATS INVALID,4.0,,3.75,12779.0,Poland ???
570488,20655,QUEEN OF SKIES LUGGAGE TAG ???,1.0,,2.46,14096.0,United Kingdom
542891,82482,WOODEN PICTURE FRAME WHITE FINISH,72.0,2011-02-01 13:26:00,2.1,16705.0,United Kingdom
542275,22966,GINGERBREAD MAN COOKIE CUTTER,12.0,2011-01-27 10:18:00,1.25,13089.0,United Kingdom
558114,23198,PANTRY MAGNETIC  SHOPPING LIST,12.0,2011-06-27 08:49:00,1.45,596440.0,EIRE
567170,21080,SET/20 RED RETROSPOT PAPER NAPKINS,3.0,2011-09-18 12:40:00,0.85,13566.0,United Kingdom
576556,23433,HANGING QUILTED PATCHWORK APPLES,24.0,2011-11-15 13:07:00,0.83,14640.0,United Kingdom
550612,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2.0,2011-04-19 12:26:00,0.85,14662.0,United Kingdom
556958,22627,MINT KITCHEN SCALES,2.0,2011-06-16 09:15:00,8.5,17490.0,United Kingdom
556927,22555,PLASTERS IN TIN STRONGMAN,96.0,2011-06-15 14:47:00,1.45,14156.0,EIRE
556812,22185,SLATE TILE NATURAL HANGING,1.0,2011-06-14 17:25:00,3.29,,United Kingdom
575477,22557,PLASTERS IN TIN VINTAGE PAISLEY,2.0,,3.29,,United Kingdom ???
569530,22710,WRAP I LOVE LONDON,25.0,2011-10-04 14:58:00,0.42,17957.0,United Kingdom
563533,21163,DO NOT TOUCH MY STUFF DOOR HANGER,2.0,2011-08-17 11:14:00,0.39,16241.0,United Kingdom
576686,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2.0,2011-11-16 12:08:00,0.85,16916.0,United Kingdom
554808,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1.0,2011-05-26 13:01:00,2.08,17059.0,United Kingdom
552533,21314,SMALL GLASS HEART TRINKET POT,16.0,,2.1,13767.0,United Kingdom
565595,22998,TRAVEL CARD WALLET KEEP CALM,24.0,2011-09-05 14:13:00,0.42,13192.0,United Kingdom
551352,22746,POPPY'S PLAYHOUSE LIVINGROOM,6.0,2011-04-28 10:20:00,2.1,16637.0,United Kingdom
580367,84923,PINK BUTTERFLY HANDBAG W BOBBLES,1.0,2011-12-02 16:39:00,4.13,,United Kingdom
561197,22607,WOODEN ROUNDERS GARDEN SET INVALID,2.0,2011-07-25 14:35:00,9.95,16364.0,United Kingdom
578791,21190,PINK HEARTS PAPER GARLAND,3.0,2011-11-25 12:20:00,1.65,12841.0,United Kingdom
578746,22114,HOT WATER BOTTLE TEA AND SYMPATHY @@@,57.0,2011-11-25 11:36:00,9.13,,United Kingdom INVALID
554310,84970S,HANGING HEART ZINC T-LIGHT HOLDER typoo,15.0,2011-05-23 15:25:00,2.08,,United Kingdom
569402,22457,NATURAL SLATE HEART CHALKBOARD,6.0,2011-10-04 09:00:00,2.95,12413.0,France
539016,22729,ALARM CLOCK BAKELIKE ORANGE,4.0,,3.75,13418.0,United Kingdom
550775,22564,ALPHABET STENCIL CRAFT,12.0,2011-04-20 13:18:00,1.25,15805.0,United Kingdom
548163,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR ???",1.0,,10.79,,United Kingdom INVALID
556080,47566,PARTY BUNTING mixed_CASE,115.0,,10.79,,United Kingdom bad_value
561388,23240,SET OF 4 KNICK KNACK TINS DOILEY mixed_CASE,48.0,,3.75,12753.0,Japan bad_value
571561,21790,VINTAGE SNAP CARDS mixed_CASE,72.0,2011-10-18 10:02:00,0.72,14015.0,United Kingdom
578065,35964,FOLKART CLIP ON STARS,1.0,2011-11-22 15:41:00,0.83,,United Kingdom
573032,22043,CHRISTMAS CARD SCREEN PRINT,12.0,2011-10-27 13:36:00,0.19,18211.0,United Kingdom
536988,22352,LUNCH BOX WITH CUTLERY RETROSPOT,2.0,2010-12-03 15:05:00,2.55,17238.0,United Kingdom
578118,22536,MAGIC DRAWING SLATE PURDEY typoo,24.0,2011-11-23 10:08:00,0.42,12955.0,United Kingdom bad_value
575477,23629,SET 10 CARDS DRESSING UP 17077,1.0,2011-11-09 16:14:00,2.49,,United Kingdom
580753,85099B,JUMBO BAG RED RETROSPOT,10.0,2011-12-06 10:00:00,2.08,1268200.0,France
548553,23231,WRAP DOILEY DESIGN ???,25.0,,0.42,12523.0,France ???
554999,21476,STEEL SWEETHEART ROUND TABLE CREAM,2.0,,14.95,15547.0,United Kingdom
543803,84279B,CHERRY BLOSSOM DECORATIVE FLASK,1.0,2011-02-13 12:05:00,3.75,17126.0,United Kingdom
538524,21484,CHICK GREY HOT WATER BOTTLE ###,1.0,2010-12-13 09:35:00,7.62,,United Kingdom
547577,22670,FRENCH WC SIGN BLUE METAL,12.0,2011-03-24 10:37:00,1.25,13183.0,United Kingdom
576574,23181,BULL DOG BOTTLE TOP WALL CLOCK,2.0,2011-11-15 13:53:00,8.25,13078.0,United Kingdom
574700,23284,DOORMAT KEEP CALM AND COME IN,2.0,2011-11-06 13:53:00,8.25,16033.0,United Kingdom
569374,22629,SPACEBOY LUNCH BOX,1.0,2011-10-03 16:14:00,4.13,,United Kingdom
570268,23534,WALL ART STOP FOR TEA,12.0,2011-10-10 10:16:00,5.95,13098.0,United Kingdom
561513,23084,RABBIT NIGHT LIGHT,2.0,2011-07-27 15:12:00,4.13,,United Kingdom
578273,22409,MONEY BOX BISCUITS DESIGN ???,1.0,,1.25,14335.0,Germany INVALID
564755,20719,WOODLAND CHARLOTTE BAG,1.0,,1.63,,United Kingdom bad_value
573137,72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,200.0,2011-10-27 17:15:00,0.83,,United Kingdom
553890,22166,WALL MIRROR RECTANGLE DIAMANTE PINK ###,1.0,2011-05-19 16:32:00,7.46,,United Kingdom ???
536876,20754,RETROSPOT RED WASHING UP GLOVES ###,2.0,,4.21,,United Kingdom typoo
563925,22666,RECIPE BOX PANTRY YELLOW DESIGN,1.0,2011-08-21 14:42:00,2.95,13610.0,United Kingdom
563808,85099B,JUMBO BAG RED RETROSPOT mixed_CASE,20.0,,2.08,12626.0,Germany
578266,23426,METAL SIGN DROP YOUR PANTS,1.0,2011-11-23 13:34:00,2.89,12748.0,United Kingdom
561079,47590B,PINK HAPPY BIRTHDAY BUNTING,1.0,2011-07-24 16:12:00,5.45,13956.0,United Kingdom
540821,10133,COLOURING PENCILS BROWN TUBE,3.0,2011-01-11 13:16:00,0.81,,United Kingdom
564853,POST,POSTAGE,3.0,2011-08-31 08:55:00,15.0,12423.0,Belgium
561132,84971S,SMALL HEART FLOWERS HOOK,72.0,2011-07-25 13:00:00,0.85,14344.0,United Kingdom
539718,37482P,CUBIC MUG PINK POLKADOT,1.0,2010-12-21 13:06:00,16.98,,United Kingdom
562944,22385,JUMBO BAG SPACEBOY DESIGN,10.0,2011-08-11 09:34:00,2.08,13985.0,United Kingdom
561085,20728,LUNCH BAG CARS BLUE ###,10.0,,1.65,14367.0,United Kingdom ???
540364,21034,REX CASH+CARRY JUMBO SHOPPER INVALID,2.0,,0.95,14505.0,United Kingdom
572846,23499,SET 12 VINTAGE DOILY CHALK,6.0,2011-10-26 12:14:00,0.42,14550.0,United Kingdom
577474,20723,STRAWBERRY CHARLOTTE BAG,10.0,2011-11-20 11:30:00,0.85,12778.0,Netherlands
542784,84795C,N/A ###,3.0,,0.0,,United Kingdom ###
569246,47504H,ENGLISH ROSE SPIRIT LEVEL typoo,1.0,,3.29,14096.0,United Kingdom mixed_CASE
566726,22593,CHRISTMAS GINGHAM STAR,1.0,2011-09-14 13:12:00,0.85,15021.0,United Kingdom
555201,21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,24.0,2011-06-01 12:10:00,0.85,16969.0,United Kingdom
573373,21213,PACK OF 72 SKULL CAKE CASES,3.0,,0.55,14684.0,United Kingdom typoo
579002,23076,ICE CREAM SUNDAE LIP GLOSS,24.0,2011-11-27 16:27:00,1.25,14093.0,United Kingdom
575477,22621,TRADITIONAL KNITTING NANCY,9.0,2011-11-09 16:14:00,3.29,,United Kingdom bad_value
574675,22998,TRAVEL CARD WALLET KEEP CALM,12.0,2011-11-06 12:31:00,0.42,17289.0,United Kingdom
577106,22633,HAND WARMER UNION JACK,1.0,2011-11-17 17:18:00,2.1,14456.0,United Kingdom
570426,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12.0,2011-10-10 13:55:00,1.45,13352.0,United Kingdom
541696,22263,FELT EGG COSY LADYBIRD ???,6.0,,0.79,,United Kingdom
539631,22178,VICTORIAN GLASS HANGING T-LIGHT,1.0,2010-12-20 15:03:00,2.51,,United Kingdom
566405,22659,LUNCH BOX I LOVE LONDON,48.0,2011-09-12 13:41:00,1.95,17919.0,United Kingdom
570088,22327,ROUND SNACK BOXES SET OF 4 SKULLS typoo,2.0,,2.95,16764.0,United Kingdom
548217,85123A,WHITE HANGING HEART T-LIGHT HOLDER bad_value,32.0,,2.55,17616.0,United Kingdom ###
545835,22625,RED KITCHEN SCALES,1.0,2011-03-07 13:17:00,8.5,17654.0,United Kingdom
575851,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1.0,2011-11-11 12:13:00,2.08,14662.0,United Kingdom
537638,21413,PERIWINKLE T-LIGHT HOLDER,3.0,2010-12-07 15:28:00,2.51,,United Kingdom
567656,22219,LOVEBIRD HANGING DECORATION WHITE,1.0,2011-09-21 14:40:00,1.63,14096.0,United Kingdom
577755,21790,VINTAGE SNAP CARDS,12.0,2011-11-21 14:49:00,0.85,17010.0,United Kingdom
566233,21165,BEWARE OF THE CAT METAL SIGN,12.0,2011-09-11 11:04:00,1.69,12635.0,Germany
566561,22029,SPACEBOY BIRTHDAY CARD,12.0,2011-09-13 12:13:00,0.42,18145.0,United Kingdom
539595,82494L,WOODEN FRAME ANTIQUE WHITE,2.0,2010-12-20 13:43:00,7.62,,United Kingdom
571104,23349,ROLL WRAP VINTAGE CHRISTMAS,12.0,2011-10-13 15:58:00,1.25,18130.0,United Kingdom
553368,48188,DOORMAT WELCOME PUPPIES @@@,100.0,2011-05-16 14:24:00,4.58,18102.0,United Kingdom
537858,20998,ROSE DU SUD OVEN GLOVE,2.0,2010-12-08 16:06:00,2.95,,United Kingdom ???
564803,23312,VINTAGE CHRISTMAS GIFT SACK ???,8.0,,4.15,13870.0,United Kingdom ###
559923,51014A,"FEATHER PEN,HOT PINK",1.0,2011-07-13 16:07:00,33.2,,United Kingdom
540352,84569D,PACK 6 HEART/ICE-CREAM PATCHES,2.0,2011-01-06 14:27:00,0.85,,United Kingdom
553194,21238,RED RETROSPOT CUP,8.0,2011-05-15 13:37:00,0.85,16283.0,United Kingdom
565682,21231,SWEETHEART CERAMIC TRINKET BOX bad_value,8.0,,1.25,14796.0,United Kingdom ###
537240,20963,APPLE BATH SPONGE,1.0,2010-12-06 10:08:00,2.51,,United Kingdom
563933,23234,BISCUIT TIN VINTAGE CHRISTMAS INVALID,2.0,,2.89,16536.0,United Kingdom typoo
558681,20711,JUMBO BAG TOYS,1.0,2011-07-01 11:20:00,4.13,,United Kingdom
581538,22899,CHILDREN'S APRON DOLLY GIRL,2.0,2011-12-09 11:34:00,2.1,14446.0,United Kingdom
571006,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10.0,2011-10-13 12:06:00,2.08,17063.0,United Kingdom
577484,22065,CHRISTMAS PUDDING TRINKET POT,12.0,2011-11-20 11:52:00,0.39,13536.0,United Kingdom
578041,23074,EMBOSSED HEART TRINKET BOX ###,4.0,,2.08,17338.0,United Kingdom
542737,22335,HEART DECORATION PAINTED ZINC,10.0,2011-01-31 15:52:00,0.65,15058.0,United Kingdom
536987,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1.0,,3.75,17198.0,United Kingdom
565748,23324,RUSTIC STRAWBERRY JAMPOT LARGE ???,24.0,2011-09-06 12:38:00,2.08,14156.0,EIRE ???
537641,22946,WOODEN ADVENT CALENDAR CREAM,3.0,2010-12-07 15:32:00,34.0,,United Kingdom
575930,23109,PACK OF SIX LED TEA LIGHTS,1.0,2011-11-11 17:58:00,5.79,,United Kingdom
537641,21494,ROTATING LEAVES T-LIGHT HOLDER,1.0,2010-12-07 15:32:00,5.91,,United Kingdom
537135,21164,HOME SWEET HOME METAL SIGN,2.0,2010-12-05 12:35:00,2.95,17059.0,United Kingdom
581334,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1.0,2011-12-08 12:07:00,3.75,17841.0,United Kingdom
566060,22452,MEASURING TAPE BABUSHKA PINK typoo,2.0,,1.63,,United Kingdom bad_value
536522,22632,HAND WARMER RED RETROSPOT,2.0,2010-12-01 12:49:00,2.1,15012.0,United Kingdom
559095,21220,SET/4 BADGES DOGS,10.0,2011-07-06 10:49:00,1.25,13198.0,United Kingdom
539292,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4.0,2010-12-16 16:42:00,5.95,16539.0,United Kingdom
570488,22356,CHARLOTTE BAG PINK POLKADOT,9.0,2011-10-10 17:12:00,1.63,14096.0,United Kingdom
560125,23267,SET OF 4 SANTA PLACE SETTINGS,1.0,2011-07-15 10:44:00,1.25,18118.0,United Kingdom
581219,22197,POPCORN HOLDER,62.0,2011-12-08 09:28:00,1.63,,United Kingdom
542600,22464,HANGING METAL HEART LANTERN,6.0,2011-01-30 11:11:00,1.65,16923.0,United Kingdom
541869,85131B,BEADED CRYSTAL HEART GREEN ON STICK,1.0,2011-01-24 09:35:00,0.83,,United Kingdom
544087,M,Manual,2.0,2011-02-15 17:02:00,0.42,17530.0,United Kingdom
575070,22475,SKULL DESIGN TV DINNER TRAY,2.0,2011-11-08 12:58:00,4.95,17841.0,United Kingdom
576618,20985,HEART CALCULATOR ???,1.0,2011-11-15 17:00:00,2.46,,United Kingdom
545980,21524,DOORMAT SPOTTY HOME SWEET HOME,2.0,2011-03-08 12:49:00,7.95,14730.0,United Kingdom
549958,22521,CHILDS GARDEN TROWEL PINK,3.0,2011-04-13 13:47:00,0.85,17589.0,United Kingdom
553710,22630,DOLLY GIRL LUNCH BOX,2.0,2011-05-18 15:35:00,1.95,17338.0,United Kingdom
548870,21724,PANDA AND BUNNIES STICKER SHEET ???,1.0,,0.85,14606.0,United Kingdom ???
541423,21002,ROSE DU SUD DRAWSTRING BAG,1.0,2011-01-17 17:54:00,3.29,,United Kingdom
540163,21518,BANK ACCOUNT  GREETING  CARD,12.0,2011-01-05 11:52:00,0.42,13089.0,United Kingdom
569672,21929,JUMBO BAG PINK VINTAGE PAISLEY,1.0,2011-10-05 13:58:00,2.08,17841.0,United Kingdom
580526,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12.0,2011-12-04 15:18:00,1.25,16535.0,United Kingdom
558390,20719,WOODLAND CHARLOTTE BAG,50.0,2011-06-29 10:23:00,0.85,13461.0,United Kingdom
542349,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1.0,2011-01-27 12:10:00,165.0,15513.0,United Kingdom
570388,23517,EMBROIDERED RIBBON REEL REBECCA,6.0,2011-10-10 12:37:00,2.89,14911.0,EIRE
540829,84970L,SINGLE HEART ZINC T-LIGHT HOLDER bad_value,24.0,,0.95,13784.0,United Kingdom bad_value
566951,23439,HAND WARMER RED LOVE HEART,10.0,2011-09-15 16:36:00,2.1,17293.0,United Kingdom
540681,22494,EMERGENCY FIRST AID TIN,1.0,2011-01-10 16:25:00,2.51,,United Kingdom
571684,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN ???,3.0,,0.29,16730.0,United Kingdom mixed_CASE
541421,10135,COLOURING PENCILS BROWN TUBE,7.0,2011-01-17 17:44:00,1.25,,United Kingdom
542231,21828,EIGHT PIECE SNAKE  SET,6.0,2011-01-26 13:40:00,1.25,16714.0,United Kingdom
574590,22301,COFFEE MUG CAT + BIRD DESIGN,12.0,2011-11-06 10:44:00,2.55,18077.0,United Kingdom
566985,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,11.0,2011-09-16 10:42:00,4.13,,United Kingdom
561371,21892,TRADITIONAL WOODEN CATCH CUP GAME,1.0,2011-07-26 16:25:00,2.46,,United Kingdom
573585,22989,SET 2 PANTRY DESIGN TEA TOWELS,1.0,2011-10-31 14:41:00,6.63,,United Kingdom
570087,21232,STRAWBERRY CERAMIC TRINKET BOX,2.0,2011-10-07 11:26:00,3.29,,United Kingdom
557019,22375,AIRLINE BAG VINTAGE JET SET BROWN,1.0,2011-06-16 12:45:00,4.25,15907.0,United Kingdom
